IP,Hostname,MAC,Vendor,Status
192.168.68.1,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.100,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.101,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.102,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.103,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.104,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.105,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.109,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.113,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.116,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.117,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.118,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.119,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.120,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.125,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.128,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.247,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.248,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.249,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.250,UNKNOWN,UNKNOWN,UNKNOWN,Clear
192.168.68.107,UNKNOWN,UNKNOWN,UNKNOWN,Clear
