Name,Image,Status,Ports
open-deep-research-postgres-1,postgres:16-alpine,Up 2 hours (healthy),"0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp"
open-deep-research-redis-1,redis:alpine,Up 2 hours (healthy),"0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp"
watchtower_grafana,grafana/grafana:latest,Up 2 hours,"0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp"
watchtower-db,postgres:15,Up 2 hours,"0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp"
watchtower_influxdb,influxdb:2.7,Up 2 hours,"0.0.0.0:8086->8086/tcp, [::]:8086->8086/tcp"
watchtower_gui_app,watchtower_ops-watchtower_gui,Up 2 hours (healthy),"0.0.0.0:8501->8501/tcp, [::]:8501->8501/tcp"
watchtower-cache,redis:alpine,Up 2 hours,6379/tcp
spiderfoot,spiderfoot:latest,Up 2 hours,"0.0.0.0:5001->5001/tcp, [::]:5001->5001/tcp"
searxng,searxng/searxng:latest,Up 2 hours,"0.0.0.0:8082->8080/tcp, [::]:8082->8080/tcp"
redis,redis:alpine,Up 2 hours,6379/tcp
